file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\PROJECTS\huston\huston\src\visitor\CollectVisitor.java,visitor.CollectVisitor,getLetters/0,FALSE,9,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\LightOffCommand.java,command.LightOffCommand,execute/0,FALSE,8,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\LightOffCommand.java,command.LightOffCommand,LightOffCommand/1[command.Light],TRUE,5,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\template\Realization.java,template.Realization,stepTwo/0,FALSE,5,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\template\Realization.java,template.Realization,step3_2/0,FALSE,6,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\template\Realization.java,template.Realization,stepFor/0,FALSE,9,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\observer\ClassVersusInterface.java,observer.ClassVersusInterface,main/1[java.lang.String[]],FALSE,3,4,6,0,6,1,2,7,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,9,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,"Component/2[int,chainOfResponsibility.Component]",TRUE,7,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,traverse/0,FALSE,9,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,Component/1[int],TRUE,6,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,setNext/1[chainOfResponsibility.Component],FALSE,8,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,volunteer/0,FALSE,11,1,2,1,1,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\prototype\PrototypesModule.java,prototype.PrototypesModule,addPrototype/1[prototype.Prototype],FALSE,6,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,9,0,FALSE
C:\PROJECTS\huston\huston\src\prototype\PrototypesModule.java,prototype.PrototypesModule,findAndClone/1[java.lang.String],FALSE,9,1,3,1,2,3,4,5,2,1,1,4,0,0,1,0,0,0,1,1,1,1,2,0,0,0,9,9,0,FALSE
C:\PROJECTS\huston\huston\src\proxy\ProxyImage.java,proxy.ProxyImage,ProxyImage/1[java.lang.String],TRUE,7,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\proxy\ProxyImage.java,proxy.ProxyImage,displayImage/0,FALSE,8,1,2,0,2,2,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,Composite/1[int],TRUE,6,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
